Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,References,Document Type,Source,EID
"Szaluta J.","Dr. Rudolph Binion: professor, mentor, psychohistorian",2015,"The Journal of psychohistory","42","3",,"221","233",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925580977&partnerID=40&md5=a2d60885ad09c3ddf701f65df689444c",,"Szaluta, J.","As the title of my paper indicates, Dr. Rudolph Binion was my professor, mentor, and a leading psychohistorian. My paper in memoriam to Rudolph Binion is intended as both a retrospective and an introspective account of my relationship with him, as he had a pivotal influence on me when he was my professor at Columbia University. His help and influence continued after I left graduate school. In my paper I also deal with the enormous stresses of navigating through graduate school, for those students whose goal was to earn the Ph.D. degree. Some examinations were dreaded, For Example The ""Examination in Subjects,"" popularly called the ""Oral Exam."" The ""incubation"" period was long indeed, frequently averaging nearly ten years, and it was an ordeal, as the rate of attrition was very high. There is then also the question of ""ego strength"" and that of ""transference"" toward the professor. Graduate school is indeed a long and strenuous challenge. I took a seminar in modern French history, a requirement for the Master's degree with Professor Binion, which was consequential for me, as he taught me to be objective in writing history. Professor Binion was a demanding and outstanding teacher.",,,Article,Scopus,2-s2.0-84925580977
"Adams K.A.","Psychohistory in contrast: an encounter with psychoanalysis sociology",2015,"The Journal of psychohistory","42","3",,"237","250",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925581732&partnerID=40&md5=3e9fad94f4da65b74f6fbad6837fc08b",,"Adams, K.A.",[No abstract available],,,Article,Scopus,2-s2.0-84925581732
"Wojciszke B., Parzuchowski M., Bocian K.","Moral judgments and impressions",2015,"Current Opinion in Psychology","6",,,"50","54",,,10.1016/j.copsyc.2015.03.028,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927669516&partnerID=40&md5=6f53c70273d6788afe1b0a929603704e","Department of Psychology, University of Social Sciences and Humanities, Sopot Campus, Polna 16/20Sopot, Poland","Wojciszke, B., Department of Psychology, University of Social Sciences and Humanities, Sopot Campus, Polna 16/20Sopot, Poland; Parzuchowski, M., Department of Psychology, University of Social Sciences and Humanities, Sopot Campus, Polna 16/20Sopot, Poland; Bocian, K., Department of Psychology, University of Social Sciences and Humanities, Sopot Campus, Polna 16/20Sopot, Poland","Moral psychology is booming and recent years brought a large body of research on moral judgments and impressions. We review up to date results about this important constituent of human morality focusing mainly on: (1) how deontology vs. utilitarianism drives moral judgments, (2) what is the role of intuition and deliberation in moral judgments, (3) how and why morality influences impressions of persons, and (4) how people perceive moral character. We also highlight some limitations of previous research and show how these limitations are being overcome recently. © 2015 Elsevier Ltd.",,"Hofmann, W., Wisneski, D.C., Brandt, M.J., Skitka, L., Morality in everyday life (2014) Science, 345, pp. 1340-1343; Hauser, M., Cushman, F., Young, L., Jin, R.K.X., Mikhail, J., A dissociation between moral judgments and justifications (2007) Mind Lang, 22, pp. 1-21; Greene, J.D., Nystrom, L.E., Engell, A.D., Darley, J.M., Cohen, J.D., The neural bases of cognitive conflict and control in moral judgment (2004) Neuron, 44, pp. 389-400; Greene, J.D., Sommerville, R.B., Nystrom, L.E., Darley, J.M., Cohen, J.D., An fMRI investigation of emotional engagement in moral judgment (2001) Science, 293, pp. 2105-2108; Koenigs, M., Young, L., Adolphs, R., Tranel, D., Cushman, F., Hauser, M., Damasio, A., Damage to the prefrontal cortex increases utilitarian moral judgments (2007) Nature, 446, pp. 908-911; Greene, J.D., Why are VMPFC patients more utilitarian? Adual-process theory of moral judgment explains (2007) TiCS, 11, pp. 322-323; Shenhav, A., Greene, J.D., Integrative moral judgment: dissociating the roles of the amygdala and the ventromedial prefrontal cortex (2014) J Neurosci, 34, pp. 4741-4749; Greene, J.D., (2013) Moral Tribes: Emotion, Reason, and the Gap between Us and Them, , Penguin, New York; Jacoby, L.L., A process dissociation framework: separating automatic from intentional uses of memory (1991) J Mem Lang, 130, pp. 513-541; Conway, P., Gawronski, B., Deontological and utilitarian inclinations in moral decision making: a process dissociation approach (2013) J Pers Soc Psychol, 104, pp. 216-235; Van Berkum, J.J.A., Holleman, B., Nieuwland, M., Otten, M., Murre, J., Right or wrong? The brain's fast response to morally objectionable statements (2009) Psychol Sci, 20, pp. 1092-1099; Haidt, J., The new synthesis in moral psychology (2007) Science, 316, pp. 998-1002; Hamlin, J.K., Moral judgment and action in preverbal infants and toddlers: evidence for an innate moral code (2013) Curr Dir Psychol, 22, pp. 183-193; Hamlin, J.K., The case for social evaluation in preverbal infants: gazing toward one's goal drives infants' preferences for Helpers over Hinderers in the hill paradigm (2015) Front Psychol, 5, p. 1563; Schnall, S., Haidt, J., Clore, G., Jordan, A., Disgust as embodied moral judgment (2008) Pers Soc Psychol B, 34, pp. 1096-1109; Feinberg, M., Willer, R., Antonenko, O., John, O.P., Liberating reason from the passions: overriding intuitionist moral judgments through emotional reappraisal (2012) Psychol Sci, 23, pp. 788-795; Haidt, J., The emotional dog and its rational tail: a social intuitionist approach to moral judgment (2001) Psychol Rev, 108, pp. 814-834; Graham, J., Haidt, J., Koleva, S., Motyl, M., Iyer, R., Wojcik, S.P., Ditto, P.H., Moral foundations theory: the pragmatic validity of moral pluralism (2013) Adv Exp Soc Psychol, 47, pp. 55-130; Gray, K., Wegner, D.M., Morality takes two: dyadic morality and mind perception (2011) The Social Psychology of Morality, , APA Press, P. Shaver, M. Mikulincer (Eds.); Gray, K., Young, L., Waytz, A., Mind perception is the essence of morality (2012) Psychol Inq, 23, pp. 101-124; Gray, K., Schein, C., Ward, A.F., The myth of harmless wrongs in moral cognition: automatic dyadic completion from sin to suffering (2014) J Exp Psychol Gen, 143, pp. 1600-1615; DeScioli, P., Massenkoff, M., Shaw, A., Petersen, M.B., Kurzban, R., Equity or equality? Moral judgments follow the money (2014) Proc R Soc B, 281, p. 2112; Pitesa, M., Thau, S., A lack of material resources causes harsher moral judgments (2014) Psychol Sci, 25, pp. 702-710; Kraus, M.W., Keltner, D., Social class rank, essentialism, and punitive judgment (2013) J Pers Soc Psychol, 105, pp. 247-261; Bocian, K., Wojciszke, B., Self-interest bias in moral judgments of others' actions (2014) Pers Soc Psychol B, 40, pp. 898-909; Bocian, K., Wojciszke, B., Unawareness of self-interest bias in moral judgments of others' behavior (2014) Pol Psychol B, 45, pp. 411-417; Strack, F., Deutsch, R., Reflective and impulsive determinants of social behavior (2004) Pers Soc Psychol Rev, 8, pp. 220-247; Horberg, E.J., Kraus, M.W., Keltner, D., Pride displays communicate self-interest and support for meritocracy (2013) J Pers Soc Psychol, 105, pp. 24-37; Parzuchowski, M., Szymkow, A., Baryla, W., Wojciszke, B., From the heart: hand over heart as an embodiment of honesty (2014) Cognitive Proc, pp. 237-244; Parzuchowski, M., Wojciszke, B., Hand over heart primes moral judgment and behavior (2014) J Nonverbal Behav, 38, pp. 145-165; Uhlmann, E.L., Pizarro, D.A., Diermeier, D., A person-centered approach to moral judgment (2015) Pers Psychol Sci, 10, pp. 72-81; Todorov, A., Olivola, C.Y., Dotsch, R., Mende-Siedlecki, P., Social attributions from faces: determinants, consequences, accuracy, and functional significance (2015) Annu Rev Psychol, 66, pp. 519-545; Wojciszke, B., Bazinska, R., Jaworski, M., On the dominance of moral categories in impression formation (1998) Pers Soc Psychol B, 24, pp. 1245-1257; Goodwin, G.P., Piazza, J., Rozin, P., Moral character predominates in person perception and evaluation (2014) J Pers Soc Psychol, 106, pp. 148-168; Strohminger, N., Nichols, S., The essential moral self (2014) Cognition, 131, pp. 159-171; Cuddy, A., Fiske, S., Glick, P., Warmth and competence as universal dimensions of social perception: the stereotype content model and the BIAS Map (2008) Adv Exp Soc Psychol, 40, pp. 61-149; Kervyn, N., Chan, E., Malone, C., Korpusik, A., Ybarra, O., Not all disasters are equal in the public eye: the negativity effect on warmth in brand perception (2014) Soc Cogn, 32, pp. 256-275; Kervyn, N., Fiske, S.T., Malone, C., Brands as intentional agents framework: warmth and competence map brand perception (2012) J Consum Psychol, 22, pp. 166-176; Abele, A.E., Wojciszke, B., Communal and agentic content in social cognition: a dual perspective model (2014) Adv Exp Soc Psychol, 50, pp. 195-255; Wojciszke, B., Abele, A.E., The primacy of communion over agency and its reversals in evaluations (2008) Eur J Soc Psychol, 38, pp. 1139-1147; Abele, A.E., Brack, S., Preference for other persons' traits is dependent on the kind of social relationship (2013) Soc Psychol, 44, pp. 84-94; Wojciszke, B., Baryla, W., Parzuchowski, M., Szymkow, A., Abele, A.E., Self-esteem is dominated by agentic over communal information (2011) Eur J Soc Psychol, 41, pp. 617-627; Wojciszke, B., Sobiczewska, P., Memory and self-esteem. The role of agentic and communal content (2013) Soc Psychol, 44, pp. 95-103; Gebauer, J., Wagner, J., Sedikides, C., Neberich, W., Agency-communion and self-esteem relations are moderated by culture, religiosity, age, and sex: evidence for the 'self-centrality breads self-enhancement' principle (2013) J Pers, 81, pp. 261-275; Wojciszke, B., Bialobrzeska, O., Agency versus communion as predictors of self-esteem: searching for the role of culture and self-construal (2014) Pol Psychol B, 45, pp. 469-479; Tannenbaum, D., Uhlmann, E.L., Diermeier, E.L., Moral signals, public outrage, and immaterial harms (2011) J Exp Soc Psychol, 47, pp. 1249-1254; Piazza, J., Landy, J.F., Goodwin, G.P., Cruel nature: harmfulness as an important, overlooked dimension in judgments of moral standing (2014) Cognition, 131, pp. 108-124; Uhlmann, E.L., Zhu, L., Diermeier, D., When actions speak volumes: the role of inferences about moral character in outrage over racial bigotry (2014) Eur J Soc Psychol, 44, pp. 23-29; Critcher, C., Inbar, Y., Pizarro, D.A., How quick decisions illuminate moral character (2013) Soc Psychol Person Sci, 4, pp. 308-315; Knobe, J., Person as scientists, person as moralist (2010) Behav Brain Sci, 33, pp. 315-329; Sripada, C.S., Mental state attributions and the side-effect effect (2012) J Exp Soc Psychol, 48, pp. 232-238; Sripada, C.S., Konrath, S., Telling more than we can know about intentional action (2011) Mind Lang, 26, pp. 353-380; Yoel, I., Pizarro, D., Cushman, F., Benefiting from misfortune when harmless actions are judged to be morally blameworthy (2012) Pers Soc Psychol B, 38, pp. 52-62; Helzer, E.G., Furr, R.M., Hawkins, A., Barranti, M., Blackie, L.E.R., Fleeson, W., Agreement on the perception of moral character (2014) Pers Soc Psychol B, 40, pp. 1698-1710; Kreps, T.A., Monin, B., Core values versus common sense: consequentialist views appear less rooted in morality (2014) Pers Soc Psychol B, 11, pp. 1529-1542; Abrams, D., Randsley de Moura, G., Travagliano, G.A., A double standard when group members behave badly: transgression credit to ingroup leaders (2013) J Pers Soc Psychol, 105, pp. 799-815; Ames, D.L., Fiske, S.T., Intentional harms are worse even if they're not (2013) Psychol Sci, 24, pp. 1755-1762; Bell, R., Schain, C., Echterhoff, G., How selfish is memory for cheaters? Evidence for moral and egoistic biases (2014) Cognition, 132, pp. 437-442; Feinberg, M., Willer, R., The moral roots of environmental attitudes (2013) Psychol Sci, 24, pp. 56-62; Newman, G.E., Cain, D.M., Tainted altruism: when doing some good is evaluated as worse than doing no good at all (2014) Psychol Sci, 25, pp. 648-655",Review,Scopus,2-s2.0-84927669516
"Ciszak L.","Christmas with Stashu",2015,"The Pharos of Alpha Omega Alpha-Honor Medical Society. Alpha Omega Alpha","78","1",,"35","41",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929023809&partnerID=40&md5=87c29e11524b461c559d21ddeff31860",,"Ciszak, L.",[No abstract available],,,Note,Scopus,2-s2.0-84929023809
"Burgess C., Francis D.C.","In your corner--workforce advocacy strategies",2015,"Tar heel nurse","77","1",,"13","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925282785&partnerID=40&md5=59d089efffc5b1a74c972c12fa48aa7b",,"Burgess, C.; Francis, D.C.",[No abstract available],,,Article,Scopus,2-s2.0-84925282785
"Boraks R.","My view: mental illness is a human issue",2015,"Behavioral healthcare","35","1",,"9","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927171448&partnerID=40&md5=e3209b01246b8772c6f24d58dc05a7de",,"Boraks, R.",[No abstract available],,,Article,Scopus,2-s2.0-84927171448
"Turner K.","My view: mental illness is a medical issue",2015,"Behavioral healthcare","35","1",,"8","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84927173400&partnerID=40&md5=f12d48332fe9688f4515e3bf214d0e31",,"Turner, K.",[No abstract available],,,Article,Scopus,2-s2.0-84927173400
"Alexander J.","Moving beyond nurse fatigue",2015,"Tar heel nurse","77","1",,"10","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925282786&partnerID=40&md5=3e9bb6e35e07128e92c89cfc1c92308c",,"Alexander, J.",[No abstract available],,,Article,Scopus,2-s2.0-84925282786
"Standing L.G., Aikins S., Madigan B., Nohl W.","Exceptional achievement and early parental loss: the phaeton effect in American writers, presidents, and eminent individuals",2015,"The Journal of psychohistory","42","3",,"188","199",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84925581710&partnerID=40&md5=c572e6c7495e644ad63726b3f35c0fdd",,"Standing, L.G.; Aikins, S.; Madigan, B.; Nohl, W.","This study explored predictions made from Lucille Iremonger's Phaeton theory (1970), which argues that individuals who show exceptional personal achievement in certain fields frequently have experienced childhoods that were marked by parental loss through death and desertion. Three groups were examined: eminent American writers, presidents of the USA, and the 100 Americans who were judged by Life magazine to have been the most influential in 20th century society. Bereavement was common in the childhoods of these outstanding individuals, but was also high, or even higher, for those individuals who achieved somewhat less eminence (less successful writers, and presidential also-rans). More than half the total set of the presidents and also-rans were orphans. Eminent Americans showed substantial although lower levels of parental loss, and nearly three-quarters had experienced difficult childhoods that were marked by some form of loss. Eminent Americans, like the presidents, tended to be first-borns; they also showed elevated levels of divorce, suicide, and name changing. The results provide support for the Phaeton theory, but suggest that the child's struggle to overcome other losses than bereavement may also promote eminence, as may the presence of significant mentors.",,,Article,Scopus,2-s2.0-84925581710
"Aston B.W.","Comment on The erosion of the solo private practice model",2015,"Journal of the Massachusetts Dental Society","63","4",,"5","",,,,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929030465&partnerID=40&md5=e2d46e422fa97b71aff4544e6af61a0e",,"Aston, B.W.",[No abstract available],,,Letter,Scopus,2-s2.0-84929030465
